,P_1,P_2,P_3,P_Z,P_I,P_P,Q_1,Q_2,Q_3,Q_Z,Q_I,Q_P
635,110630.5,122284,126546,0.239786571957429,0.125333705377727,0.634879722664844,19550.0910191226,16828.2253792366,20298.9032533555,2.11146051857798,-4.68481911175607,3.57335859317808
640,110015.5,117596,131958.5,0.248078579370999,0.116007903702746,0.635913516926256,21706.2809366684,19134.5979367351,24832.0148823165,2.09523796685151,-4.58042753825645,3.48518957140493
645,115836.5,115435,119893.5,0.25112019270489,0.104333858223034,0.644545949072077,23208.4842256359,19266.6925346357,22240.2384186313,2.12356795777629,-4.67836778089229,3.554799823116
650,101769.5,112174,122254.5,0.238794941292032,0.102043540067931,0.659161518640038,21325.7432592565,22096.9137123303,25166.9370327509,2.11797586650437,-4.64448028844796,3.52650442194358
655,97059,119507,141851,0.245913942514656,0.09979716190335,0.654288895581994,23076.3238145192,22230.0702627191,29510.5234387224,2.13247549773714,-4.67443156127403,3.54195606353688
660,112333,116993,132372,0.249910964495555,0.098666434199602,0.651422601304843,26107.8239115665,22899.8016319494,25468.8567945753,2.14474868741732,-4.67149930689297,3.52675061947564
665,101196,125499,132310,0.249515428317308,0.093891297349329,0.656593274333363,23712.5247312723,23495.7017556865,22800.1200463464,2.16738636434071,-4.74369521371556,3.57630884937484
670,108663,111046.8,127010.8,0.241644286369936,0.10268044784027,0.655675265789794,26041.0179025337,22657.7193864888,18199.2186424082,2.1935249125103,-4.84137179404563,3.64784688153531
675,112474,125997,112771,0.245277135026748,0.093934283302354,0.660788581670898,28336.709638919,28449.1824413213,16256.4131009906,2.15254101948853,-4.63053176601492,3.47799074652638
680,112819,135218.5,144718,0.263250559319,0.086205509919527,0.650543930761474,26280.1575762247,28512.9698366609,19899.7577790496,2.16291440910188,-4.69311009216635,3.53019568306446
685,117042,131610.5,143077,0.264576231429579,0.087203520315181,0.64822024825524,27361.8177889627,28389.1344910758,20558.7335936208,2.13432173716487,-4.57393792947682,3.43961619231194
690,120931,129621.5,149185,0.269400047794989,0.077219940373794,0.653380011831217,25787.579309427,27447.6683778479,20681.6637206424,2.1883606644506,-4.73243032028445,3.54406965583385
695,108293,116876.5,157473,0.259157385628835,0.08115698246618,0.659685631904985,22508.8729777905,22709.5070046753,23848.9385896806,2.24014292392548,-4.94687155609903,3.70672863217353
700,102103,110593.5,130609,0.252268624401844,0.081280158588389,0.666451217009767,20802.188297462,21772.6228346352,23833.0787359811,2.28955345182945,-5.14147394985778,3.85192049802832
705,108238,136078.5,141577,0.263338236019876,0.074433128370107,0.662228635610017,18065.1940718851,21127.3866188502,25838.2262811248,2.27661411478113,-5.09006043084522,3.81344631606408
710,101688,117247.5,139223,0.25925373601393,0.077031916603825,0.663714347382245,18902.2277452837,20969.6022071988,25907.0648770066,2.24047626812853,-4.95530869204835,3.71483242391982
715,101720.6,124162.1,151902,0.261215663412306,0.07969655502027,0.659087781567425,18077.8057235931,20672.6187366905,25983.7907685513,2.27615837210758,-5.03852616423803,3.76236779213044
720,117347.6,124120.1,141207,0.261842799488028,0.068841115570921,0.669316084941051,20763.3918807995,18672.7082725375,27838.1603985564,2.29203269364516,-5.11146677935958,3.81943408571441
725,110745,104924.5,133142,0.25166157082809,0.074803498409754,0.673534930762157,19693.1618053561,17367.2701385663,24883.2113699166,2.32901812903235,-5.2737577115591,3.94473958252675
730,119587,133563.5,125189,0.263365520668087,0.0765234849732,0.660110994358713,20061.0171777157,22162.421809,22603.3580943915,2.30596232841994,-5.2038780288721,3.89791570045215
735,119839,125801.5,133359,0.266883231233481,0.085776606896939,0.64734016186958,20487.4939453713,21052.1082424055,20837.4878563579,2.27561902063618,-5.13608607649086,3.86046705585466
740,124209,137342.5,139581,0.269706968664726,0.089143193651038,0.641149837684237,19850.0649761577,18665.6288571464,20592.3050800453,2.27936516085616,-5.14841611730183,3.86905095644566
745,135443,124509.5,137593,0.278475484350893,0.089138362907543,0.632386152741565,18819.4587203202,19043.8247778908,19313.8180432125,2.29587816645069,-5.24163389258018,3.94575572612948
750,137769.5,120987.5,123471,0.261125403677217,0.093599456924077,0.645275139398707,19188.0013756911,17163.6081220464,19566.9823714607,2.24971485148657,-5.07247053399227,3.82275568250569
755,136460.5,118653.06,116487,0.257018545626458,0.09459276588577,0.648388688487773,18860.9304709738,19829.2022722213,20593.1915700531,2.18957060988344,-4.87372211204155,3.6841515021581
760,111357.5,121742.06,125668,0.251230223115803,0.088794250521883,0.659975526362315,19011.0924966795,20415.6987821703,20157.3400509806,2.25338358948105,-5.09542268218553,3.84203909270447
765,110066.5,110298.06,127247,0.246328793326275,0.0949167983726,0.658754408301125,18318.9134572487,18620.9282003304,19690.4757946115,2.24078028380746,-5.05590921413117,3.81512893032371
770,133561.5,122991.5,144287,0.262576418686177,0.094641390083356,0.642782191230467,19208.8304798243,19213.239394849,21899.7661101522,2.18751081857752,-4.85983733313363,3.6723265145561
775,136465.5,126940.5,147221,0.258624702729264,0.099081899972786,0.64229339729795,18935.2067768996,16146.6513699552,23215.1596904608,2.20400426847617,-4.89924987623795,3.69524560776176
780,154627.5,138852,140385,0.26775184883003,0.095927457342845,0.636320693827125,21013.8268207269,19320.2886738114,22862.052881034,2.2198069235831,-4.91878417481438,3.69897725123127
785,164627.5,135183,150475,0.271769488550746,0.086648651504064,0.641581859945191,26416.128414847,21670.2009040334,22558.0883421683,2.1768053538963,-4.74363225054798,3.56682689665166
790,186486.7,121895.24,143746,0.272024535334767,0.084389261876008,0.643586202789225,28878.2946968377,24843.8304782087,23077.6760497491,2.15589217535556,-4.61014843591155,3.45425626055598
795,160510.5,125471.24,147597,0.261823200247912,0.0843331862417,0.653843613510387,29013.5213339457,26659.7159598118,25339.794669512,2.19895482402384,-4.73339054247872,3.53443571845486
800,138081.5,114327,140654.5,0.245622246690348,0.092629935433134,0.661747817876518,25359.9129280439,21268.480186693,25674.7890729446,2.15843907034732,-4.64707553043859,3.48863646009126
805,128338.5,111309,127253.5,0.251233397829916,0.101718715714902,0.647047886455182,25204.9940077133,18151.8436220913,23987.9473134364,2.21600240617631,-4.88902569608543,3.67302328990911
810,118633.5,124632,123634.5,0.250521269620774,0.109018053401591,0.640460676977636,21311.6046029256,18355.489492098,21038.0044846846,2.23733270017763,-4.99314131246931,3.75580861229166
815,133046.04,129968,115588.23,0.246584246657421,0.107514947347554,0.645900805995026,22039.7898859221,20417.0213564885,21351.4909908456,2.25889353289988,-5.06053219017358,3.80163865727368
820,123385.54,120640,116401.23,0.239656429343058,0.102276958863134,0.658066611793809,21192.8967071551,21036.796442248,20240.3886453,2.25756518097047,-5.02985356924449,3.772288388274
825,123720,112064,124841.5,0.242815458947326,0.096284349427,0.660900191625675,19633.524949437,22153.8082308265,21566.0087624069,2.23674385192672,-4.9694763993477,3.73273254742097
830,112867,120871,124326.5,0.243042177094806,0.12403334888062,0.632924474024575,20309.4617327495,25355.1483049208,21161.9090535619,2.16727830941576,-4.77440986970992,3.60713156029414
835,119218,113706,120458,0.239256775740746,0.137951538707029,0.622791685552226,19699.3136909624,24069.9010854744,18406.7244652151,2.11648748638409,-4.68532217544998,3.56883468906588
840,126782,112563,136929.5,0.251516270199531,0.143748941047459,0.60473478875301,17516.5174673646,23202.7967787391,18260.5914301731,2.03746906016202,-4.46882301948237,3.43135395932033
845,129565,115210,125743,0.248486201279028,0.143933741814004,0.607580056906969,17591.2371139875,24343.8755690813,17529.3880706191,2.01646296618106,-4.38137802267297,3.36491505649188
850,134435,113965,128819,0.247946923094087,0.148237168626057,0.603815908279856,17898.7997653967,23946.2489147877,19399.3019477076,1.97597844720619,-4.22918433031976,3.25320588311356
855,138251,121387,123361,0.254763790680727,0.155316672098146,0.589919537221128,18779.8702896088,20962.4188580643,18154.3408283958,1.97840346731933,-4.24982471368754,3.2714212463682
860,144641,139405,121297,0.267527723473275,0.155987933552958,0.576484342973767,18514.8476402948,19561.9817174884,16421.7420605789,1.96492486815934,-4.27449005333681,3.30956518517746
865,140309,143076,122850,0.260539115065056,0.161314856615525,0.57814602831942,20197.31504249,20489.5651676149,17897.5740017431,1.96591829772012,-4.27598819791326,3.31006990019313
870,129779.5,143651,135667,0.249404191236418,0.147853595456764,0.60274221330682,21384.3227840572,25338.9378082063,21085.7473048796,1.93863806310735,-4.1052951915849,3.16665712847754
875,114693.5,139558.5,126551,0.24325164367113,0.154773909323781,0.60197444700509,20529.7082228686,25939.4793197703,20278.4936983883,1.96659194755393,-4.21591171134925,3.24931976379531
880,122800.5,140112.5,126101,0.24365827246177,0.15658757934633,0.599754148191902,19830.5238653921,25129.772578659,19626.7202415606,1.99144373268846,-4.28237288907372,3.29092915638526
885,124829.5,128290.5,117896,0.245613770217697,0.177864738671606,0.576521491110699,16016.6931640408,18516.7120012628,18384.8812405696,1.98936462601788,-4.33330661115344,3.34394198513555
890,120425.5,138821.5,122857.5,0.244841094758194,0.178346806057734,0.576812099184074,17949.8033650533,21258.9959680303,19371.484581493,1.95939137562548,-4.18642219449837,3.22703081887287
895,123150.5,145361.5,138285.5,0.251614400766563,0.171914542687568,0.576471056545869,20516.1692600851,20118.7259286331,19252.79020298,1.94813154681066,-4.16367033064436,3.21553878383369
900,127071.5,151671.5,135370.19,0.258515270856068,0.174905029302165,0.566579699841767,20156.7140889545,20460.2551903749,18496.2880636055,1.92534606616898,-4.09926271892965,3.17391665276066
905,126991.5,168584.83,150901.19,0.264554227186538,0.181407135745597,0.554038637067866,21834.049439605,22751.2967826242,19798.6813295486,1.88065640192552,-3.93489441452561,3.05423801260008
910,131004.5,166068.83,156604.5,0.262528224395129,0.19113918815233,0.546332587452542,19089.9755115593,19694.2930647334,20611.6724730907,1.85389095828845,-3.87594776951454,3.02205681122608
915,126670.5,168118.83,175816.5,0.265983391056407,0.184285120886285,0.54973148805731,16905.603163249,17784.3950523975,19772.1810655164,1.83945459368393,-3.90344828807066,3.06399369438673
920,129761.5,153504.5,165913.5,0.268003423625864,0.198892156529312,0.533104419844824,15357.3280978654,16783.6985208639,16871.7123526551,1.85818853138183,-3.99684040505799,3.13865187367614
925,128202.5,171146.5,169298.5,0.27134125202388,0.194995315695841,0.53366343228028,14692.5642319451,18423.804366485,16014.848228396,1.90839292780235,-4.15803068613548,3.24963775833312
930,116926.5,149528.5,155678.5,0.252466034458048,0.201674858360505,0.545859107181449,13862.7518643633,17805.0218531621,14385.862473235,1.95596416928928,-4.37259342322897,3.41662925393968
935,129212.5,163314.5,168250.42,0.266448670317286,0.197142213569778,0.536409116112937,16054.0078856917,17935.857203496,17469.2716234683,1.91258883100995,-4.16938390124505,3.25679507023509
940,133048.5,156901.5,163196.42,0.272690406647628,0.191886673477639,0.535422919874734,16536.6319663513,16851.062252318,18035.9050543153,1.94617184813692,-4.2661798590183,3.32000801088138
945,131600.5,152687.5,183988.92,0.27619128473787,0.199063933176627,0.524744782085504,14286.0531164846,17183.6422049541,18104.3147624833,1.91283072547485,-4.17130761792861,3.25847689245376
950,147897.77,161632.5,178734.92,0.280509072145611,0.190611965438977,0.528878962415414,17328.2873611035,20178.5009037838,18008.2020967975,1.89775482134168,-4.09650626687668,3.19875144553499
955,146833.27,163052.26,190056.68,0.277959447228067,0.195917775135674,0.52612277763626,16559.1663712831,21546.3626244223,19754.6807792859,1.92225878837796,-4.15694723669012,3.23468844831215
960,154199.77,177771.26,181051.68,0.282449854336535,0.188824459714597,0.528725685948871,17255.4261830925,19119.7987584607,20347.9759831801,1.89199557905445,-4.07912458896411,3.18712900990965
965,168084.94,186243.51,176749.74,0.291047604861339,0.188258994457718,0.520693400680943,15413.4955490102,19860.0707464609,19103.2645553429,1.90569184659033,-4.12558199190384,3.21989014531351
